,▶ -> O_Create Offer,O_Create Offer -> O_Created,O_Created -> O_Sent (mail and online),O_Sent (mail and online) -> O_Cancelled,O_Cancelled -> ■,O_Sent (mail and online) -> O_Returned,O_Returned -> O_Accepted,O_Accepted -> ■,O_Created -> O_Cancelled,O_Created -> O_Sent (online only),O_Sent (online only) -> O_Returned,O_Returned -> O_Refused,O_Refused -> ■,O_Sent (mail and online) -> O_Refused,O_Returned -> O_Cancelled,O_Sent (online only) -> O_Cancelled,O_Returned -> ■,O_Sent (online only) -> O_Refused,O_Created -> O_Refused,O_Sent (mail and online) -> ■,O_Sent (online only) -> ■
2016-02-10 00:00:00+00:00,113,113,104,27,30,77,63,46,4,5,4,17,16,2,6,2,0,0,0,0,0
2016-02-11 00:00:00+00:00,142,142,130,52,62,71,41,47,5,7,2,4,16,5,9,5,0,0,0,0,0
2016-02-12 00:00:00+00:00,73,73,66,20,47,42,64,42,1,6,3,9,18,6,11,0,0,3,0,0,0
2016-02-13 00:00:00+00:00,80,80,77,34,12,39,0,0,1,2,0,2,0,4,1,0,0,2,0,0,0
2016-02-14 00:00:00+00:00,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-15 00:00:00+00:00,199,199,179,79,50,96,63,39,5,14,4,15,14,4,6,3,0,7,1,0,0
2016-02-16 00:00:00+00:00,116,116,108,42,46,64,56,50,3,5,2,13,23,1,11,2,0,1,0,0,0
2016-02-17 00:00:00+00:00,98,98,91,32,38,56,81,59,2,5,3,22,18,4,9,2,0,0,0,0,0
2016-02-18 00:00:00+00:00,95,95,88,32,40,56,42,28,3,4,2,9,31,1,7,2,0,0,0,0,0
2016-02-19 00:00:00+00:00,100,100,86,32,38,52,57,42,4,10,4,18,21,1,5,6,0,0,0,0,0
2016-02-20 00:00:00+00:00,73,73,67,28,12,37,2,3,4,2,0,0,0,3,0,2,0,0,0,0,0
2016-02-21 00:00:00+00:00,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-22 00:00:00+00:00,175,175,164,71,134,92,45,223,3,8,2,12,12,1,5,6,0,0,0,0,0
2016-02-23 00:00:00+00:00,251,251,239,94,46,140,44,59,7,5,0,6,19,4,5,5,0,0,0,0,0
2016-02-24 00:00:00+00:00,133,133,127,54,33,72,80,69,1,5,4,17,31,1,7,1,0,0,0,0,0
2016-02-25 00:00:00+00:00,92,92,88,31,62,57,42,69,1,3,2,14,7,1,4,1,0,0,0,0,0
2016-02-26 00:00:00+00:00,110,110,97,36,48,57,57,38,6,7,1,14,19,3,6,5,0,1,0,0,0
2016-02-27 00:00:00+00:00,78,78,74,21,26,50,6,1,3,1,0,1,0,1,1,0,0,1,0,0,0
2016-02-28 00:00:00+00:00,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-29 00:00:00+00:00,172,172,158,60,459,96,63,67,2,12,7,10,13,3,10,5,0,0,0,0,0
2016-03-01 00:00:00+00:00,156,156,142,55,38,83,69,47,7,7,3,8,11,5,11,4,0,0,0,0,0
2016-03-02 00:00:00+00:00,144,144,135,51,39,81,98,71,4,5,2,23,14,2,9,2,0,0,0,0,0
