,zero_percentage,mean,median,std,max,min,percentile_25,percentile_75,percentile_90,percentile_95,percentile_99,threshold,n_extreme_values,extreme_percentage,max_value,extreme_mean
Record Goods Receipt -> Record Invoice Receipt,14.983713355048861,270.5016286644951,334.0,197.6485355999123,741,0,11.0,418.5,487.40000000000003,548.5,640.5,640.5,4.0,1.3029315960912053,741.0,688.75
Record Invoice Receipt -> Clear Invoice,27.035830618892508,335.56351791530943,352.0,278.2657632634267,1457,0,0.0,529.5,685.2000000000003,771.9999999999999,987.94,987.94,4.0,1.3029315960912053,1457.0,1126.5
Clear Invoice -> ■,61.563517915309454,471.37459283387625,0.0,1620.017449193753,9215,0,0.0,40.5,713.6000000000012,5079.999999999999,8536.279999999999,8536.279999999999,4.0,1.3029315960912053,9215.0,8910.25
Record Goods Receipt -> Remove Payment Block,24.429967426710096,37.96742671009772,29.0,37.98828828237085,204,0,1.0,57.0,93.40000000000003,113.69999999999999,148.57999999999998,148.57999999999998,4.0,1.3029315960912053,204.0,170.5
Remove Payment Block -> Clear Invoice,16.612377850162865,113.64495114006515,75.0,159.24189577961104,2102,0,15.5,161.5,266.0,336.09999999999997,449.94,449.94,4.0,1.3029315960912053,2102.0,930.5
Record Goods Receipt -> Vendor creates invoice,21.49837133550489,204.24104234527687,244.0,148.96865664616257,523,0,12.0,311.0,379.0,426.79999999999995,504.7,504.7,4.0,1.3029315960912053,523.0,511.0
Vendor creates invoice -> Record Invoice Receipt,9.446254071661238,231.42345276872965,241.0,195.52261918143597,1014,0,12.0,362.5,449.40000000000003,554.7,866.8599999999999,866.8599999999999,4.0,1.3029315960912053,1014.0,913.0
Vendor creates invoice -> Record Goods Receipt,4.5602605863192185,277.5016286644951,336.0,191.9707455686972,781,0,16.5,413.5,480.80000000000007,541.4,619.3399999999999,619.3399999999999,4.0,1.3029315960912053,781.0,682.5
▶ -> SRM: Created,60.586319218241044,1.5309446254071661,0.0,2.8205918966150434,16,0,0.0,2.0,5.0,9.0,11.0,11.0,3.0,0.9771986970684038,16.0,13.666666666666666
SRM: Created -> SRM: Complete,60.586319218241044,1.5309446254071661,0.0,2.8205918966150434,16,0,0.0,2.0,5.0,9.0,11.0,11.0,3.0,0.9771986970684038,16.0,13.666666666666666
SRM: Complete -> SRM: Awaiting Approval,60.586319218241044,1.5309446254071661,0.0,2.8205918966150434,16,0,0.0,2.0,5.0,9.0,11.0,11.0,3.0,0.9771986970684038,16.0,13.666666666666666
SRM: Awaiting Approval -> SRM: Document Completed,60.586319218241044,1.5309446254071661,0.0,2.8205918966150434,16,0,0.0,2.0,5.0,9.0,11.0,11.0,3.0,0.9771986970684038,16.0,13.666666666666666
SRM: Document Completed -> SRM: In Transfer to Execution Syst.,66.77524429967427,1.228013029315961,0.0,2.551456772112832,16,0,0.0,1.0,4.0,6.699999999999989,11.0,11.0,3.0,0.9771986970684038,16.0,13.666666666666666
SRM: In Transfer to Execution Syst. -> SRM: Ordered,67.75244299674267,1.1530944625407167,0.0,2.426571696227003,16,0,0.0,1.0,4.0,6.0,11.0,11.0,3.0,0.9771986970684038,16.0,13.666666666666666
SRM: Ordered -> SRM: Change was Transmitted,72.9641693811075,0.9446254071661238,0.0,2.2795328554245935,16,0,0.0,1.0,3.0,5.699999999999989,10.939999999999998,10.939999999999998,4.0,1.3029315960912053,16.0,13.0
SRM: Change was Transmitted -> Create Purchase Order Item,71.9869706840391,0.9706840390879479,0.0,2.318394866997328,16,0,0.0,1.0,3.0,6.0,10.939999999999998,10.939999999999998,4.0,1.3029315960912053,16.0,13.0
Create Purchase Order Item -> Record Goods Receipt,23.452768729641694,150.07491856677524,173.0,117.28538008608663,509,0,2.0,233.0,284.2000000000003,348.7,405.82,405.82,4.0,1.3029315960912053,509.0,444.0
SRM: In Transfer to Execution Syst. -> SRM: Change was Transmitted,89.90228013029315,0.1986970684039088,0.0,0.7516419473944262,6,0,0.0,0.0,0.4000000000000341,1.0,4.0,4.0,3.0,0.9771986970684038,6.0,5.333333333333333
SRM: Change was Transmitted -> SRM: Ordered,96.09120521172639,0.0749185667752443,0.0,0.4618691527499865,6,0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.6514657980456027,6.0,4.5
SRM: Ordered -> Create Purchase Order Item,81.75895765472313,0.3811074918566775,0.0,1.1439103092451282,11,0,0.0,0.0,1.0,2.0,4.939999999999998,4.939999999999998,4.0,1.3029315960912053,11.0,7.75
Create Purchase Order Item -> Vendor creates invoice,20.846905537459286,262.75895765472313,311.0,197.22494839853633,785,0,2.0,398.5,499.2000000000001,539.8999999999999,668.94,668.94,4.0,1.3029315960912053,785.0,728.75
SRM: Document Completed -> SRM: Ordered,87.62214983713355,0.30293159609120524,0.0,1.0078569796275882,7,0,0.0,0.0,1.0,2.0,5.0,5.0,2.0,0.6514657980456027,7.0,7.0
