,zero_percentage,mean,median,std,max,min,percentile_25,percentile_75,percentile_90,percentile_95,percentile_99,threshold,n_extreme_values,extreme_percentage,max_value,extreme_mean
▶ -> ▶,1.9346653980336188,32.688550586742785,25.0,28.990733229062844,232,0,13.0,42.0,68.0,90.39999999999964,142.0,142.0,31.0,0.9831906121154456,232.0,171.2258064516129
▶ -> Create Fine,1.9029495718363463,32.701554075483664,25.0,28.985261014636762,232,0,13.0,42.0,68.0,90.39999999999964,142.0,142.0,31.0,0.9831906121154456,232.0,171.2258064516129
Create Fine -> Send Fine,8.531557247066287,21.68569616238503,17.0,21.270537439728965,188,0,7.0,29.0,47.0,62.0,97.96000000000004,97.96000000000004,32.0,1.014906438312718,188.0,125.40625
Send Fine -> ■,95.94037424674913,5.177925784966698,0.0,29.333875704440146,580,0,0.0,0.0,0.0,0.0,153.48000000000002,153.48000000000002,32.0,1.014906438312718,580.0,203.84375
■ -> ■,8.563273073263558,32.79194418014589,13.0,267.3599599725136,8851,0,5.0,24.0,37.0,52.0,196.48000000000002,196.48000000000002,32.0,1.014906438312718,8851.0,1381.65625
Send Fine -> Insert Fine Notification,62.131303520456704,16.561370123691724,0.0,90.29317093733843,1326,0,0.0,1.0,2.0,4.0,450.9200000000001,450.9200000000001,32.0,1.014906438312718,1326.0,610.59375
Insert Fine Notification -> Add penalty,30.383761496986995,14.83698065334602,2.0,36.17718578871696,483,0,0.0,10.0,44.0,75.0,177.0,177.0,31.0,0.9831906121154456,483.0,263.2903225806452
Add penalty -> Send for Credit Collection,44.973041547732315,9.624167459562322,1.0,26.99606122825944,425,0,0.0,5.0,28.800000000000182,50.399999999999636,132.36000000000013,132.36000000000013,32.0,1.014906438312718,425.0,200.5
Send for Credit Collection -> ■,99.77798921661909,11.996828417380273,0.0,264.60859177799284,8818,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.22201078338090707,8818.0,5403.714285714285
Add penalty -> Payment,56.67618141452585,3.888677450047574,0.0,11.002479038041601,131,0,0.0,2.0,10.0,20.0,59.0,59.0,31.0,0.9831906121154456,131.0,82.12903225806451
Payment -> ■,8.816999682841738,15.077069457659372,13.0,13.436472450640078,221,0,5.0,22.0,32.0,39.0,55.48000000000002,55.48000000000002,32.0,1.014906438312718,221.0,75.71875
Insert Fine Notification -> Insert Date Appeal to Prefecture,78.0209324452902,0.6964795432921027,0.0,2.131058913976362,29,0,0.0,0.0,2.0,4.0,11.0,11.0,26.0,0.8246114811290833,29.0,16.73076923076923
Insert Date Appeal to Prefecture -> Add penalty,65.8103393593403,0.6393910561370124,0.0,1.250505942130329,18,0,0.0,1.0,2.0,3.0,6.0,6.0,21.0,0.6660323501427212,18.0,8.761904761904763
Add penalty -> Send Appeal to Prefecture,81.09736758642563,0.5264827148747225,0.0,1.7256315232309625,26,0,0.0,0.0,1.800000000000182,3.0,9.0,9.0,28.0,0.8880431335236283,26.0,13.535714285714286
Send Appeal to Prefecture -> ■,88.36029178560102,0.545512210593086,0.0,2.983122948300287,71,0,0.0,0.0,1.0,2.0,12.0,12.0,31.0,0.9831906121154456,71.0,25.0
Create Fine -> Payment,5.359974627339042,10.91500158579131,9.0,9.626251985700003,60,0,4.0,14.0,23.0,30.0,46.0,46.0,31.0,0.9831906121154456,60.0,53.45161290322581
Payment -> Payment,57.43736124326039,0.7646685696162385,0.0,1.1736024303604726,9,0,0.0,1.0,2.0,3.0,5.0,5.0,20.0,0.6343165239454488,9.0,7.15
Add penalty -> Insert Date Appeal to Prefecture,92.38820171265462,0.11798287345385347,0.0,0.49557380059742207,6,0,0.0,0.0,0.0,1.0,3.0,3.0,12.0,0.3805899143672693,6.0,4.833333333333333
Insert Date Appeal to Prefecture -> Send Appeal to Prefecture,87.09165873771012,0.1779257849666984,0.0,0.5400177528789313,7,0,0.0,0.0,1.0,1.0,3.0,3.0,11.0,0.3488740881699968,7.0,4.454545454545454
Payment -> Send for Credit Collection,80.58991436726927,0.26990168093878847,0.0,0.644016206976258,7,0,0.0,0.0,1.0,2.0,3.0,3.0,12.0,0.3805899143672693,7.0,4.666666666666667
Send Appeal to Prefecture -> Receive Result Appeal from Prefecture,94.60830954646369,0.10053916904535364,0.0,0.5323092480884345,8,0,0.0,0.0,0.0,1.0,3.0,3.0,19.0,0.6026006977481764,8.0,5.157894736842105
Receive Result Appeal from Prefecture -> Notify Result Appeal to Offender,92.9908024104028,0.14811290834126228,0.0,0.7048218786676895,10,0,0.0,0.0,0.0,1.0,3.0,3.0,29.0,0.9197589597209007,10.0,5.758620689655173
Notify Result Appeal to Offender -> Payment,94.48144624167459,0.07611798287345385,0.0,0.36142154653391323,5,0,0.0,0.0,0.0,1.0,2.0,2.0,18.0,0.570884871550904,5.0,3.2777777777777777
Send Fine -> Payment,96.79670155407548,0.5499524262607041,0.0,11.288869435239693,477,0,0.0,0.0,0.0,0.0,4.0,4.0,28.0,0.8880431335236283,477.0,56.07142857142857
